CohortName,ClassReq,NbrOfSeats
BIOS1,BIOS1600,18
BIOS1,ENGL1050,18
BIOS1,MATH1220,18
BIOS2,BIOS1600,18
BIOS2,ENGL1050,18
BIOS2,MATH1180,18
BIOS3,BIOS1600,18
BIOS3,ENGL1050,18
BIOS3,MATH1110,18
BIOS4,BIOS1600,18
BIOS4,ENGL1050,18
BIOS4,MATH1220,6
BIOS4,MATH1180,6
BIOS4,MATH1110,6
ENV1,GEOS1300,18
ENV1,ENGL1050,18
ENV1,MATH1110,6
ENV1,MATH1180,6
ENV1,MATH1220,6
HON1,IEE1020,24
HON1,MATH1220,24
HON1,CHEM1100,24
HON1,CHEG1010,12
HON1,PAPR1000,12
HON2,IEE1020,24
HON2,MATH1700,24
HON2,CHEM1100,24
HON2,EDMM1420,24
HON3,IEE1020,24
HON3,MATH1700,24
HON3,CHEM1100,24
HON3,EDMM1420,24
HON4,IEE1020,24
HON4,MATH1220,24
HON4,CHEM1100,24
HON4,EDMM1420,12
HON4,CS1110,12
HON5,MATH1700,24
HON5,CHEM1100,24
HON5,EDMM1420,24
CHEG,CHEG1010,24
CHEG,CHEM1100,24
CHEG,IEE1020,24
CHEG,MATH1180,12
CHEG,MATH1220,12
CCE,IEE1020,24
CCE,EDMM1420,24
CCE,CHEM1100,12
CCE,MATH1700,12
CCE,MATH1180,12
AERO,CHEM1100,24
AERO,IEE1020,24
AERO,EDMM1420,24
AERO,MATH1700,12
AERO,MATH1180,12
CS,CS1110,24
CS,MATH1220,12
CS,MATH1180,12
CS,IEE1020,24
ECE,ECE2500,24
ECE,IEE1020,24
ECE,CHEM1100,24
ECE,MATH1700,12
ECE,MATH1180,12
EXP1,ENGR2100,24
EXP1,MATH1110,24
EXP1,EDMM1420,24
EXP2,ENGR2100,24
EXP2,MATH1110,24
EXP2,EDMM1420,24
EXP3,ENGR2100,24
EXP3,MATH1110,24
EXP3,EDMM1420,24
EXP4,ENGR2100,24
EXP4,MATH1110,24
EXP5,ENGR2100,24
EXP5,MATH1110,24
MAE1,IEE1020,24
MAE1,CHEM1100,24
MAE1,EDMM1420,24
MAE1,MATH1700,24
IEE,IEE1020,24
IEE,EDMM1420,24
IEE,MATH1220,8
IEE,MATH1700,8
IEE,MATH1180,8
IEE,CHEM1100,24
MAE2,IEE1020,24
MAE2,CHEM1100,24
MAE2,MATH1180,24
MAE2,EDMM1420,24
PAPR,PAPR1000,24
PAPR,CHEM1100,24
PAPR,IEE1020,24
PAPR,MATH1220,12
PAPR,MATH1180,12
UND,IEE1020,24
UND,CHEM1100,24
UND,MATH1700,12
UND,MATH1180,12
